timestamp_start,timestamp_end,src_ip,dst_ip,dst_port,protocol,rule_name,severity,reason,failed_attempts
2017-07-04 19:09:00,2017-07-04 19:09:10,172.16.0.1,192.168.10.50,22,TCP,BRUTE_FORCE,LOW,12 failed connection attempts within 10s window,12
2017-07-04 19:09:10,2017-07-04 19:09:20,172.16.0.1,192.168.10.50,22,TCP,BRUTE_FORCE,LOW,10 failed connection attempts within 10s window,10
2017-07-04 19:09:20,2017-07-04 19:09:30,172.16.0.1,192.168.10.50,22,TCP,BRUTE_FORCE,LOW,10 failed connection attempts within 10s window,10
2017-07-04 19:09:40,2017-07-04 19:09:50,172.16.0.1,192.168.10.50,22,TCP,BRUTE_FORCE,LOW,10 failed connection attempts within 10s window,10
2017-07-04 19:09:50,2017-07-04 19:10:00,172.16.0.1,192.168.10.50,22,TCP,BRUTE_FORCE,LOW,10 failed connection attempts within 10s window,10
2017-07-04 19:10:00,2017-07-04 19:10:10,172.16.0.1,192.168.10.50,22,TCP,BRUTE_FORCE,LOW,10 failed connection attempts within 10s window,10
2017-07-04 19:10:20,2017-07-04 19:10:30,172.16.0.1,192.168.10.50,22,TCP,BRUTE_FORCE,LOW,8 failed connection attempts within 10s window,8
2017-07-04 19:10:30,2017-07-04 19:10:40,172.16.0.1,192.168.10.50,22,TCP,BRUTE_FORCE,LOW,10 failed connection attempts within 10s window,10
2017-07-04 19:10:40,2017-07-04 19:10:50,172.16.0.1,192.168.10.50,22,TCP,BRUTE_FORCE,LOW,10 failed connection attempts within 10s window,10
2017-07-04 19:11:00,2017-07-04 19:11:10,172.16.0.1,192.168.10.50,22,TCP,BRUTE_FORCE,LOW,8 failed connection attempts within 10s window,8
2017-07-04 19:11:10,2017-07-04 19:11:20,172.16.0.1,192.168.10.50,22,TCP,BRUTE_FORCE,LOW,10 failed connection attempts within 10s window,10
2017-07-04 19:11:40,2017-07-04 19:11:50,172.16.0.1,192.168.10.50,22,TCP,BRUTE_FORCE,LOW,10 failed connection attempts within 10s window,10
2017-07-04 19:11:50,2017-07-04 19:12:00,172.16.0.1,192.168.10.50,22,TCP,BRUTE_FORCE,LOW,10 failed connection attempts within 10s window,10
2017-07-04 19:12:00,2017-07-04 19:12:10,172.16.0.1,192.168.10.50,22,TCP,BRUTE_FORCE,LOW,10 failed connection attempts within 10s window,10
2017-07-04 19:12:30,2017-07-04 19:12:40,172.16.0.1,192.168.10.50,22,TCP,BRUTE_FORCE,LOW,8 failed connection attempts within 10s window,8
2017-07-04 19:12:40,2017-07-04 19:12:50,172.16.0.1,192.168.10.50,22,TCP,BRUTE_FORCE,LOW,10 failed connection attempts within 10s window,10
2017-07-04 19:12:50,2017-07-04 19:13:00,172.16.0.1,192.168.10.50,22,TCP,BRUTE_FORCE,LOW,10 failed connection attempts within 10s window,10
2017-07-04 19:13:00,2017-07-04 19:13:10,172.16.0.1,192.168.10.50,22,TCP,BRUTE_FORCE,LOW,9 failed connection attempts within 10s window,9
2017-07-04 19:13:10,2017-07-04 19:13:20,172.16.0.1,192.168.10.50,22,TCP,BRUTE_FORCE,LOW,9 failed connection attempts within 10s window,9
2017-07-04 19:13:30,2017-07-04 19:13:40,172.16.0.1,192.168.10.50,22,TCP,BRUTE_FORCE,LOW,10 failed connection attempts within 10s window,10
2017-07-04 19:13:40,2017-07-04 19:13:50,172.16.0.1,192.168.10.50,22,TCP,BRUTE_FORCE,LOW,10 failed connection attempts within 10s window,10
2017-07-04 19:13:50,2017-07-04 19:14:00,172.16.0.1,192.168.10.50,22,TCP,BRUTE_FORCE,LOW,8 failed connection attempts within 10s window,8
2017-07-04 19:14:00,2017-07-04 19:14:10,172.16.0.1,192.168.10.50,22,TCP,BRUTE_FORCE,LOW,10 failed connection attempts within 10s window,10
