timestamp_start,timestamp_end,src_ip,dst_ip,dst_port,protocol,rule_name,severity,reason,syn_only_count,synack_count,syn_synack_ratio
2017-07-05 15:15:39,2017-07-05 15:15:40,172.16.0.1,192.168.10.50,,TCP,SYN_FLOOD,LOW,SYN flood suspicion: 256 SYN-only vs 0 SYN-ACK in 1s (ratio=256.00),256,0,256.0
2017-07-05 15:15:40,2017-07-05 15:15:41,172.16.0.1,192.168.10.50,,TCP,SYN_FLOOD,LOW,SYN flood suspicion: 383 SYN-only vs 0 SYN-ACK in 1s (ratio=383.00),383,0,383.0
2017-07-05 15:15:41,2017-07-05 15:15:42,172.16.0.1,192.168.10.50,,TCP,SYN_FLOOD,MEDIUM,SYN flood suspicion: 443 SYN-only vs 0 SYN-ACK in 1s (ratio=443.00),443,0,443.0
2017-07-05 15:15:42,2017-07-05 15:15:43,172.16.0.1,192.168.10.50,,TCP,SYN_FLOOD,MEDIUM,SYN flood suspicion: 569 SYN-only vs 0 SYN-ACK in 1s (ratio=569.00),569,0,569.0
2017-07-05 15:15:43,2017-07-05 15:15:44,172.16.0.1,192.168.10.50,,TCP,SYN_FLOOD,LOW,SYN flood suspicion: 393 SYN-only vs 0 SYN-ACK in 1s (ratio=393.00),393,0,393.0
2017-07-05 15:15:44,2017-07-05 15:15:45,172.16.0.1,192.168.10.50,,TCP,SYN_FLOOD,LOW,SYN flood suspicion: 208 SYN-only vs 0 SYN-ACK in 1s (ratio=208.00),208,0,208.0
2017-07-05 15:15:45,2017-07-05 15:15:46,172.16.0.1,192.168.10.50,,TCP,SYN_FLOOD,LOW,SYN flood suspicion: 227 SYN-only vs 0 SYN-ACK in 1s (ratio=227.00),227,0,227.0
2017-07-05 15:15:46,2017-07-05 15:15:47,172.16.0.1,192.168.10.50,,TCP,SYN_FLOOD,LOW,SYN flood suspicion: 206 SYN-only vs 0 SYN-ACK in 1s (ratio=206.00),206,0,206.0
2017-07-05 15:22:20,2017-07-05 15:22:21,172.16.0.1,192.168.10.50,,TCP,SYN_FLOOD,LOW,SYN flood suspicion: 265 SYN-only vs 0 SYN-ACK in 1s (ratio=265.00),265,0,265.0
2017-07-05 15:22:21,2017-07-05 15:22:22,172.16.0.1,192.168.10.50,,TCP,SYN_FLOOD,LOW,SYN flood suspicion: 381 SYN-only vs 0 SYN-ACK in 1s (ratio=381.00),381,0,381.0
2017-07-05 15:22:22,2017-07-05 15:22:23,172.16.0.1,192.168.10.50,,TCP,SYN_FLOOD,MEDIUM,SYN flood suspicion: 455 SYN-only vs 0 SYN-ACK in 1s (ratio=455.00),455,0,455.0
2017-07-05 15:22:23,2017-07-05 15:22:24,172.16.0.1,192.168.10.50,,TCP,SYN_FLOOD,MEDIUM,SYN flood suspicion: 566 SYN-only vs 0 SYN-ACK in 1s (ratio=566.00),566,0,566.0
2017-07-05 15:22:24,2017-07-05 15:22:25,172.16.0.1,192.168.10.50,,TCP,SYN_FLOOD,LOW,SYN flood suspicion: 383 SYN-only vs 0 SYN-ACK in 1s (ratio=383.00),383,0,383.0
2017-07-05 15:22:26,2017-07-05 15:22:27,172.16.0.1,192.168.10.50,,TCP,SYN_FLOOD,LOW,SYN flood suspicion: 235 SYN-only vs 0 SYN-ACK in 1s (ratio=235.00),235,0,235.0
2017-07-05 15:26:01,2017-07-05 15:26:02,172.16.0.1,192.168.10.50,,TCP,SYN_FLOOD,LOW,SYN flood suspicion: 292 SYN-only vs 0 SYN-ACK in 1s (ratio=292.00),292,0,292.0
2017-07-05 15:26:02,2017-07-05 15:26:03,172.16.0.1,192.168.10.50,,TCP,SYN_FLOOD,LOW,SYN flood suspicion: 384 SYN-only vs 0 SYN-ACK in 1s (ratio=384.00),384,0,384.0
2017-07-05 15:26:03,2017-07-05 15:26:04,172.16.0.1,192.168.10.50,,TCP,SYN_FLOOD,MEDIUM,SYN flood suspicion: 484 SYN-only vs 0 SYN-ACK in 1s (ratio=484.00),484,0,484.0
2017-07-05 15:26:04,2017-07-05 15:26:05,172.16.0.1,192.168.10.50,,TCP,SYN_FLOOD,MEDIUM,SYN flood suspicion: 426 SYN-only vs 0 SYN-ACK in 1s (ratio=426.00),426,0,426.0
2017-07-05 15:26:05,2017-07-05 15:26:06,172.16.0.1,192.168.10.50,,TCP,SYN_FLOOD,LOW,SYN flood suspicion: 235 SYN-only vs 0 SYN-ACK in 1s (ratio=235.00),235,0,235.0
